TIMESTAMP,0,ref_temp,precip,soil_tmp,soil_moisture,soil_heat_flux,solar,net_rad_1,WL,WL_temp,wind_speed,wind_direc_mean,wind_direction_sdv,KH2O_volt,battery,CS215_temp,CS215_RH
2010-11-08,120.0,13.7343333333,0.0,14.4445833333,0.300354166667,-7.75616666667,209.168270833,104.420625,32.1810416667,21.7497916667,2.2498125,287.875,15.1871666667,507.047916667,13.430625,13.3160416667,58.180625
2010-11-09,120.0,14.2410208333,0.0,14.638125,0.2973125,-6.55910416667,208.245395833,103.179166667,32.16375,21.6441666667,1.68189583333,245.718270833,14.9295833333,424.729166667,13.3947916667,15.636875,60.5354166667
2010-11-10,120.0,15.4314583333,0.0,15.3027083333,0.295583333333,-4.9344375,200.203416667,101.473625,32.1416666667,21.5160416667,1.57945833333,263.071625,18.9306666667,303.039583333,13.3904166667,16.9979166667,65.1039583333
2010-11-11,120.0,17.1789583333,0.0,16.4152083333,0.2948125,-2.709875,195.7619375,102.798541667,32.11875,21.381875,2.686875,324.515208333,12.3644583333,173.7025,13.374375,16.7688095238,74.071875
2010-11-12,120.0,19.1454166667,0.0,17.82125,0.294625,-0.846416666667,187.906979167,91.858125,32.0966666667,21.254375,2.91422916667,322.348854167,14.54075,147.120833333,13.3816666667,17.1647368421,76.7766666667
2010-11-13,120.0,17.930625,0.0,17.4933333333,0.291833333333,-3.33035416667,199.235666667,99.6804166667,32.078125,21.13875,2.0915,300.871458333,20.0183125,151.572916667,13.3891666667,16.5817777778,77.1102083333
2010-11-14,120.0,16.759375,0.0,16.8370833333,0.287395833333,-4.41472916667,198.0915,102.635833333,32.061875,21.0395833333,1.79041666667,263.655916667,24.3613958333,166.471875,13.4025,16.3533333333,74.2254166667
2010-11-15,120.0,17.579375,0.0,17.078125,0.284833333333,-2.84254166667,192.181916667,104.247708333,32.04625,20.9552083333,2.17929166667,164.7688125,13.0458958333,152.269166667,13.3841666667,15.7635294118,72.4214893617
2010-11-16,120.0,21.0125,0.00123031496063,18.879375,0.285583333333,1.6353125,160.006645833,94.4547916667,32.0325,20.8795833333,3.18395833333,116.208125,13.4780208333,54.5758125,13.303125,18.0525,80.948125
2010-11-17,120.0,21.9114583333,8.20209973753e-05,20.3189583333,0.286895833333,2.11416666667,144.4500625,86.7397083333,32.0175,20.8060416667,1.39614583333,225.102916667,24.7680416667,29.9365625,13.3104166667,20.2760606061,86.7710638298
2010-11-18,120.0,19.4227083333,0.0,19.1685416667,0.282770833333,-3.14954166667,187.842854167,96.0516666667,32.005,20.745625,2.1504375,297.104166667,18.1294791667,301.0425,13.35,16.646969697,69.7629166667
2010-11-19,120.0,16.24125,0.0,16.9035416667,0.2745625,-5.61908333333,188.259125,90.39375,31.9939583333,20.7064583333,2.63364583333,191.7494375,12.3819375,449.072916667,13.3810416667,14.5368571429,67.6879166667
2010-11-20,120.0,18.1960416667,0.0,17.7920833333,0.273666666667,-1.87427083333,131.664520833,72.1148958333,31.9825,20.6785416667,2.29689583333,208.257083333,11.3714375,168.3,13.2816666667,16.0422580645,76.74625
2010-11-21,120.0,19.9247916667,0.0,18.750625,0.273583333333,-0.278708333333,137.5708125,70.3568541667,31.9695833333,20.64875,2.79914583333,171.4060625,13.6027708333,44.8247916667,13.2766666667,16.5655555556,83.58125
2010-11-22,120.0,20.0939583333,0.0,19.030625,0.272208333333,-0.41025,131.6179375,66.8498541667,31.9622916667,20.6110416667,2.26635416667,170.564291667,13.935,47.966875,13.2679166667,16.4124,85.8604166667
2010-11-23,120.0,20.9235416667,0.0,19.6658333333,0.271708333333,0.05575,133.919145833,72.8284166667,32.0189583333,20.573125,1.71733333333,211.5585625,18.6164791667,97.534375,13.253125,18.1265384615,86.4795833333
2010-11-24,120.0,19.3522916667,0.0,18.75,0.2678125,-2.638,174.8789375,89.1729166667,32.02,20.5439583333,2.14658333333,187.039041667,13.0966666667,105.289583333,13.34375,18.1697058824,71.619375
2010-11-25,120.0,20.2527083333,0.0,19.0202083333,0.265666666667,-0.847854166667,171.323583333,94.3870625,32.0204166667,20.5245833333,1.8756875,76.058125,15.50275,83.0168541667,13.35375,18.261,81.9552083333
2010-11-26,120.0,21.2566666667,0.000492125984252,20.0416666667,0.265895833333,0.8834375,94.2468541667,44.5424791667,32.02,20.5075,2.64820833333,114.591875,13.3189375,16.0551875,13.123125,19.8431034483,87.0666666667
2010-11-27,120.0,20.7677083333,0.000164041994751,20.1783333333,0.265416666667,-0.6636875,77.5647291667,42.99525,32.02,20.49625,2.17791666667,257.487770833,16.1204166667,123.885125,13.030625,18.163,89.4458333333
2010-11-28,120.0,18.9485416667,0.0,18.3527083333,0.259583333333,-3.4243125,163.644333333,98.1071666667,32.0204166667,20.4852083333,2.51285416667,184.658145833,17.5227083333,295.786041667,13.23125,14.2993333333,68.280625
2010-11-29,120.0,22.91375,0.0,20.5508333333,0.2621875,2.59458333333,124.5419375,72.0274375,32.0202083333,20.485,2.71352083333,78.8121041667,17.1869791667,41.0342291667,13.2316666667,19.1495238095,90.2583333333
2010-11-30,120.0,24.9108333333,0.0,21.9104166667,0.263604166667,3.50052083333,144.322916667,86.137,32.0204166667,20.4825,2.85835416667,96.6289583333,16.241875,49.6960416667,13.2322916667,,75.4533333333
2010-12-01,120.0,17.2583333333,0.000820209973753,18.9327083333,0.257208333333,-7.25458333333,169.706291667,74.0030208333,32.020625,20.4804166667,3.66683333333,236.31875,14.9656458333,275.6378125,13.3185416667,14.0706097561,68.7714583333
2010-12-02,120.0,9.71585416667,0.0,13.655,0.244145833333,-12.8782291667,186.713958333,67.9107708333,32.02125,20.4933333333,2.7458125,291.266666667,14.6471041667,635.852083333,13.4297916667,8.12054166667,55.3229166667
2010-12-03,120.0,9.30702083333,0.0,12.2620833333,0.239333333333,-10.310625,185.187395833,74.2082291667,32.0204166667,20.5022916667,2.25960416667,283.05,12.714125,694.133333333,13.4375,9.79427083333,48.1497916667
2010-12-04,120.0,11.1474166667,0.0,12.570625,0.238145833333,-6.6643125,178.6959375,82.5165416667,32.02,20.4772916667,1.9755,160.683125,21.8072291667,293.509583333,13.4070833333,12.4906666667,70.035
2010-12-05,120.0,14.969375,0.000902230971129,14.819375,0.241583333333,-2.68752083333,149.0159375,59.300625,32.02,20.4064583333,3.33385416667,206.920833333,13.3597083333,276.813958333,13.26,15.225,75.4225
2010-12-06,120.0,7.98266666667,0.0,11.6285416667,0.235479166667,-10.9951458333,178.586020833,66.0113958333,32.02,20.314375,3.05766666667,256.889583333,15.01525,822.141666667,13.4558333333,5.48077083333,66.4229166667
