TIMESTAMP,0,ref_temp,precip,soil_tmp,soil_moisture,soil_heat_flux,solar,net_rad_1,WL,WL_temp,wind_speed,wind_direc_mean,wind_direction_sdv,KH2O_volt,battery,CS215_temp,CS215_RH
2009-11-30,120.0,20.6706616682,0.00107372942019,18.1884691849,0.461579681275,-5.40287051793,132.202143141,60.3154503968,33.0748007968,21.3391451292,0.924169634489,102.340619494,9.58094657919,61.7603964386,12.588547329,17.4043439364,80.2085119048
2009-12-31,120.0,17.3483829071,0.00186517735081,17.4628398385,0.522561911171,-4.09506056528,111.095151413,46.0205437416,34.3710736842,19.9542947368,2.61841117093,202.424283311,17.3022032301,75.6318405114,12.1380484522,16.3616830417,83.0894347241
2010-01-31,120.0,12.2131176075,0.00308769367539,12.536219086,0.52416061828,-5.07090255376,145.551347446,55.5741498656,35.3100345066,17.1058385093,2.72756048387,199.903737231,17.4295114247,427.09444422,12.3885685484,11.5603373656,73.5190456989
2010-02-28,120.0,13.0559776786,0.00194214004499,12.730952381,0.555999255952,-4.6385639881,162.357900298,81.3474025298,37.6285033507,15.3629858526,2.69448735119,211.456954613,19.2780825893,387.049877976,12.7628720238,11.5045029762,72.6168229167
2010-03-31,120.0,16.3768366935,0.00466196765727,15.1477083333,0.576840053763,0.22900537996,211.886372312,113.917112903,37.3116801075,15.5465860215,2.95215524194,187.721526882,19.4283407258,145.254084677,13.2961155914,15.1056948925,71.1141801075
2010-04-30,120.0,21.8507986111,0.00354330708661,19.9768055556,0.579054861111,2.81760138889,266.727791667,160.328098611,36.9346944444,17.4589861111,2.47195138889,164.3270125,19.9133944444,79.7177576389,13.3502013889,20.9051319444,73.8240486111
2010-05-31,120.0,26.4630443548,0.00174096181526,24.2773185484,0.531213709677,3.84705040323,281.037704973,184.45596707,35.0514449696,19.4800201613,2.1816733871,143.661991935,21.7117123656,35.7992594086,13.3252016129,25.2576276882,78.7497513441
2010-06-30,120.0,27.9587083333,0.00229658792651,26.218875,0.464047222222,2.13344791667,266.259525694,185.402290278,33.2327983252,21.3066643405,1.95929305556,138.535511111,23.5496458333,45.8597739678,13.3165138889,27.3132540238,79.5996431071
2010-07-31,120.0,28.4583803763,0.00450321733977,27.1861223118,0.47761155914,1.34677956989,237.417454973,169.939259409,34.4855071477,22.4555411845,1.93925067204,146.740954301,22.1860221774,39.0485329301,13.3082526882,27.1608602151,83.2198454301
2010-08-31,120.0,28.3202822581,0.00504296841927,27.7071505376,0.469608198925,0.631427419355,203.748741263,144.353431452,34.845777027,23.2769797297,1.9289811828,145.453738575,22.5203709677,27.9179502688,13.2923319892,26.8664717742,88.0217271505
2010-09-30,120.0,26.4028888889,0.00236493875766,25.6309652778,0.43829375,-0.317925694444,221.080149306,153.861572917,35.1166155989,23.3744444444,2.09990277778,176.929852083,19.6202125,37.7930784722,13.3539444444,25.9225972222,83.0530277778
2010-10-31,120.0,22.0479973118,4.23334180002e-05,21.5438776882,0.306206317204,-2.22780913978,220.341330645,133.598397849,32.9927620968,22.4658064516,2.08686693548,226.007363575,18.4116700269,131.357084005,13.4114448925,22.2005577957,72.2612365591
2010-11-30,120.0,18.8216006944,0.00132327209099,18.4486736111,0.280396527778,-2.81861111111,162.250213194,84.4412673611,32.0758008357,21.0954108635,2.34245347222,210.191038194,16.4610006944,194.744069444,13.3077083333,16.8852530009,76.83027121
2010-12-31,120.0,10.5272889785,0.000386292439252,11.5606317204,0.233266129032,-5.72865120968,148.801616935,61.2719616935,32.0140725806,19.1481048387,2.68549865591,219.674999328,15.9999112903,419.545446237,13.2950739247,9.84778325456,69.2023857527
2011-01-31,120.0,14.7229805108,0.0050985310304,14.1154697581,0.322329301075,-2.29583736559,141.327716398,68.6438467742,32.8104982206,17.3684412811,2.50490591398,199.891991263,19.3948380376,166.97409879,13.2418145161,13.5761236559,77.1781048387
2011-02-28,120.0,19.1912693452,0.000571217660292,17.5312202381,0.387556547619,0.140626488095,165.110582589,91.286140625,34.6098139881,16.974516369,2.2967172619,183.600950149,19.2545721726,19.917485119,13.1849925595,16.9119285714,78.6386309524
2011-03-31,120.0,20.259688447,0.011811023622,18.4369034091,0.348963033175,0.156899526066,223.074660038,129.035817235,33.7849167483,17.8139177277,2.33697159091,174.867913744,22.1048712121,8.49307670455,13.3032890995,19.4383503788,74.6336587678
2011-04-30,120.0,24.178916595,0.00201313685404,21.9078865979,0.443441580756,0.910223175966,284.730098628,180.40829331,35.6590611542,18.7581551724,2.42575536481,142.630734991,19.1903144816,34.2919845758,13.3706003431,22.5063261803,71.2796483705
2011-05-31,120.0,26.8397916667,2.64583862501e-06,24.0544959677,0.258278225806,0.672489919355,291.131555108,188.227616263,32.8994129555,19.9035080645,2.29703024194,154.103763441,21.7300591398,127.256986559,13.3627553763,23.923030914,69.5224798387
2011-06-30,120.0,28.0047222222,0.000894028871391,25.1677847222,0.229504166667,1.24560208333,256.866947222,172.350925,32.053286418,21.219268121,2.07895625,152.821803472,24.0633798611,33.2987638889,13.3028958333,26.0393958333,76.7092222222
2011-07-31,120.0,28.7489247312,0.00758032766066,27.1953360215,0.407664650538,1.07514045699,225.851064516,154.64975336,33.9819377163,22.369550173,1.71967473118,152.935336694,25.6302157258,34.9177090054,13.2451075269,26.4185147849,83.4715456989
2011-08-31,120.0,28.7785483871,0.00241300482601,27.5618077957,0.489877688172,1.36281317204,214.527507392,147.54752621,36.2611693548,23.0778897849,2.01425604839,154.410683468,22.834077957,12.2738837366,13.248655914,26.8387903226,85.3815389785
2011-09-30,120.0,27.2889930556,0.00330544619423,26.2912708333,0.464100694444,-0.279229166667,207.64190625,136.980934722,36.0263263889,23.3357638889,1.80132986111,180.291540278,23.3130020833,54.4484875,13.2693263889,25.5422013889,82.9334583333
2011-10-31,120.0,23.0663844086,0.00362479891626,22.7960215054,0.500397177419,-3.84119153226,,102.143163978,36.3922513441,22.4391599462,2.50939516129,235.963604839,16.5401982527,100.51019422,13.2887365591,20.7569287634,78.8769153226
2011-11-30,120.0,20.8157159722,0.00027613735783,20.4630486111,0.42910625,-3.34041666667,,83.4391347222,35.0248541667,20.9466319444,2.63939236111,197.898911806,15.7190104167,62.2382534722,13.3000069444,18.7282451389,80.1390486111
2011-12-31,120.0,18.4507997312,7.40834815003e-05,18.0671236559,0.375661962366,-3.43787567204,,68.5863561828,33.9863306452,20.1134610215,2.4575,207.800449597,16.2837533602,136.433866263,13.2736626344,17.4675725806,79.6730376344
2012-01-31,120.0,15.4635235215,0.000209021251376,15.2551948925,0.31902016129,-3.50366666667,,72.4477365591,33.2057997312,18.9329637097,2.33725537634,170.716946237,17.4789583333,179.453275538,13.3176545699,15.3253447581,72.0227486559
2012-02-29,120.0,19.9780359195,0.000986627749118,18.4852011494,0.33075,-0.163738505747,,89.1399310345,32.8192241379,18.6805387931,2.47180890805,185.220114224,19.5284087644,172.362191092,13.243591954,17.9993498563,77.4771264368
2012-03-31,120.0,22.093733871,0.000268817204301,20.0921303763,0.299565188172,0.188504704301,,136.862712366,32.3976276882,19.274905914,2.6586061828,139.956622312,18.1929798387,113.656666667,13.3475537634,20.9074744624,73.7038844086
2012-04-30,120.0,22.6074861111,0.00102777777778,20.5894930556,0.217774305556,-0.163531944444,,159.811793056,32.0426736111,20.0034930556,2.55279166667,162.081527778,19.9276881944,133.900749306,13.3541319444,21.2752430556,70.5955555556
2012-05-31,120.0,26.2690255376,0.00176075268817,23.5031182796,0.220606854839,1.41368884409,,168.104081989,32.0635551075,20.7839583333,2.36983736559,160.603587366,22.2661666667,47.1693353495,13.2841465054,24.605436828,74.182405914
2012-06-30,120.0,26.6319097222,0.0109027777778,25.18775,0.428127777778,1.17622708333,,139.367342361,33.9007013738,22.0169631236,2.52959375,147.902340278,20.7645541667,25.4527534722,13.1671458333,24.7816805556,83.401375
